# 단어<TAB>뜻풀이 — 형식 예시 겸 기본 빌드용 최소 데이터
가방	물건을 넣어 들고 다닐 수 있게 만든 용구.
가위	두 개의 날을 엇갈리게 하여 물건을 자르는 도구.
거울	빛의 반사를 이용해 물체의 모습을 비추는 물건.
겨울	한 해의 네 철 가운데 넷째 철.
고양이	야행성이며 발톱을 감출 수 있는 작은 애완동물.
구두	가죽 따위로 만든 서양식 신.
그림	선이나 색으로 사물의 형상을 나타낸 것.
기차	여러 개의 차량을 이어 궤도 위를 달리는 탈것.
나비	두 쌍의 넓은 날개를 가진 곤충.
노래	가락에 맞추어 부를 수 있게 만든 음악.
누나	남자가 손위 여자 형제를 부르는 말.
다리	사람이나 동물의 몸통 아래에 붙은 신체 부위.
달력	일 년의 날짜와 요일을 적어 놓은 것.
도시	사람이 많이 모여 사는 지역.
동생	같은 부모에게서 태어난 손아래 형제.
마을	주로 시골에서 여러 집이 모여 사는 곳.
모자	머리에 쓰는 물건.
바람	기압 차이로 일어나는 공기의 흐름.
바퀴	굴러서 이동할 수 있게 만든 둥근 물건.
번개	구름과 구름 사이에서 일어나는 방전 현상.
사진	빛을 이용해 물체의 모습을 기록한 것.
사탕	설탕을 굳혀 만든 단맛의 과자.
소나기	갑자기 세차게 내리다가 곧 그치는 비.
수건	물기를 닦는 데 쓰는 천.
시장	여러 가지 물건을 사고파는 곳.
아침	날이 밝을 무렵부터 오전 중반까지의 동안.
연필	흑연 심을 나무에 박아 만든 필기구.
우산	비를 막기 위해 펴서 쓰는 물건.
의자	앉을 때 사용하는 기구.
자전거	페달을 밟아 바퀴를 굴려 나아가는 탈것.
전화기	멀리 떨어진 사람과 말을 주고받는 기계.
지도	지구 표면의 상태를 줄여서 나타낸 그림.
창문	공기나 빛이 들어오도록 벽에 낸 문.
책상	책을 읽거나 글을 쓸 때 쓰는 상.
친구	가깝게 오래 사귄 사람.
컵	물 따위를 담아 마시는 그릇.
토끼	귀가 길고 뒷다리가 발달한 초식 동물.
파도	바다에 이는 물결.
학생	학교에 다니면서 공부하는 사람.
호수	땅이 우묵하게 들어가 물이 괴어 있는 곳.
가족	부모와 자식, 부부 등의 관계로 맺어져 함께 사는 사람들의 집단.
가을	한 해의 네 철 가운데 셋째 철.
간장	음식의 간을 맞추는 데 쓰는 짠맛의 검은 액체 조미료.
감자	땅속줄기가 굵어져서 된 덩이줄기를 식용하는 작물.
강물	강에 흐르는 물.
개구리	물과 뭍에서 사는 양서류의 하나.
거리	사람이나 차가 다니는 길.
거미	여덟 개의 다리가 있고 줄을 쳐서 벌레를 잡아먹는 절지동물.
건물	사람이 들어가 살거나 일할 수 있게 지은 구조물.
계란	닭이 낳은 알.
고추	매운맛이 나는 열매를 맺는 식물, 또는 그 열매.
공원	여러 사람이 쉬거나 놀 수 있도록 만든 공공의 정원.
공책	글씨를 쓰거나 그림을 그릴 수 있도록 백지를 여러 장 묶어 맨 책.
과일	나무나 풀에 열리는, 사람이 먹을 수 있는 열매.
교실	학교에서 학생들이 수업을 받는 방.
국수	밀가루 등을 반죽하여 가늘게 뽑은 식품.
군인	군대에서 복무하는 사람.
